batsman,runs,deliveries_faced,outs,dots,singles,doubles,threes,fours,sixers,bowled,catches,run_outs
AS Raut,194,167,11,62,73,9,3,13,7,3,3,4
AS Yadav,49,39,7,15,13,2,0,5,2,1,4,2
AT Carey,32,29,2,6,14,6,0,0,1,0,2,0
AT Rayudu,3659,2888,123,955,1283,172,1,307,132,26,72,12
AUK Pathan,39,23,5,11,3,2,0,5,2,3,2,0
Abdul Samad,111,65,5,17,23,10,0,8,6,0,5,0
Abhishek Sharma,143,98,8,27,43,6,0,10,8,1,6,1
Anirudh Singh,63,66,4,31,23,5,0,6,1,1,2,0
Anureet Singh,36,47,4,18,22,0,0,2,1,1,3,0
Arshdeep Singh,0,3,1,3,0,0,0,0,0,0,1,0
Avesh Khan,4,3,0,2,0,0,0,1,0,0,0,0
Azhar Mahmood,388,303,19,107,116,19,0,39,13,5,9,3
B Akhil,76,55,7,22,16,5,0,5,5,2,3,2
B Kumar,183,194,24,86,69,14,0,17,3,9,11,3
B Laughlin,5,13,2,8,5,0,0,0,0,1,1,0
B Lee,124,96,10,38,36,4,0,8,8,1,6,3
B Stanlake,5,2,0,0,1,0,0,1,0,0,0,0
BA Bhatt,6,7,0,6,0,0,0,0,1,0,0,0
BA Stokes,920,678,38,214,282,59,2,79,32,13,19,3
BB McCullum,2880,2172,106,885,712,103,3,290,128,33,62,7
BB Sran,10,13,1,4,7,1,0,0,0,0,0,1
BCJ Cutting,238,141,11,49,44,10,0,15,19,3,6,1
BE Hendricks,1,3,1,2,1,0,0,0,0,1,0,0
BJ Haddin,18,11,1,5,2,1,0,2,1,0,1,0
BJ Hodge,1400,1112,46,386,451,89,8,122,43,15,23,6
BMAJ Mendis,23,27,3,8,15,4,0,0,0,0,1,1
BR Dunk,40,35,3,17,6,3,0,7,0,1,2,0
Basil Thampi,32,35,2,12,16,3,0,1,1,1,0,1
Bipul Sharma,187,123,6,31,51,19,0,11,9,1,4,1
C Munro,177,141,9,63,45,4,0,19,8,4,5,0
C de Grandhomme,303,224,15,77,91,16,0,18,17,4,9,1
CA Ingram,205,179,12,72,69,9,0,22,5,4,7,1
CA Lynn,1280,906,37,362,300,44,0,127,62,12,21,1
CA Pujara,390,390,18,178,133,15,1,50,4,5,12,1
CH Gayle,4772,3164,116,1319,956,85,3,383,344,32,76,2
CH Morris,551,348,24,97,144,34,1,39,29,7,11,4
CJ Anderson,538,421,22,180,139,25,1,40,31,5,11,3
CJ Ferguson,98,117,6,55,42,10,0,9,0,1,1,1
CJ Jordan,32,36,4,15,10,7,0,2,0,0,2,1
CK Kapugedera,16,22,3,7,12,2,0,0,0,0,3,0
CL White,954,752,35,252,333,47,2,74,36,5,22,4
CR Brathwaite,181,110,14,41,36,4,0,10,16,2,9,2
CR Woakes,63,66,5,31,25,3,0,5,2,0,4,0
CRD Fernando,4,3,1,0,2,1,0,0,0,0,0,1
CV Varun,10,15,2,5,8,1,0,0,0,1,0,1
D Padikkal,473,378,14,125,161,25,3,51,8,5,9,0
DA Miller,1850,1328,54,388,568,126,1,125,86,16,34,2
DA Warner,5254,3694,126,1243,1344,317,19,508,192,29,77,10
DAJ Bracewell,12,9,0,1,6,1,0,1,0,0,0,0
DB Das,304,260,12,107,92,12,0,23,16,7,4,0
DB Ravi Teja,375,315,20,105,134,18,3,35,9,7,9,2
DE Bollinger,21,22,1,9,9,1,0,1,1,0,1,0
DJ Bravo,1490,1154,65,412,429,106,5,115,60,18,42,1
DJ Harris,111,101,3,48,33,2,0,11,5,0,3,0
DJ Hooda,625,481,35,147,220,49,1,31,29,7,19,4
DJ Hussey,1322,1070,49,377,450,72,2,89,60,10,32,6
DJG Sammy,295,241,15,89,94,15,1,15,18,3,10,1
DJM Short,115,99,7,44,35,3,0,11,5,1,4,2
DL Chahar,78,56,7,19,20,7,0,2,6,0,5,0
DL Vettori,121,112,7,31,54,4,1,11,2,4,1,1
DM Bravo,6,5,0,2,2,0,0,1,0,0,0,0
