success,timestamp,date,base,rates.INR,rates.RUTH,rates.XCU,rates.ALU,rates.NI,rates.ZNC,rates.TIN,rates.LCO,rates.BSD,rates.BTN,rates.BWP,rates.BYN,rates.BYR
TRUE,1629894300,25-08-2021,USD,74.32245433,0.001334133,3.7355986,12.15425546,1.667261822,10.86593124,0.941492911,0.043094356,1.000962148,74.29584863,11.20637634,2.507940102,19609.604
TRUE,1629894600,25-08-2021,USD,74.30949503,0.00133372,3.734029851,12.14903107,1.667911839,10.86658263,0.941323599,0.043096079,1.000702098,74.29807592,11.20312815,2.508441364,19603.528
TRUE,1629894900,25-08-2021,USD,74.31161937,0.001334347,3.733557266,12.15918826,1.66612794,10.85952584,0.941135476,0.043097803,1.000582075,74.26837867,11.20447223,2.508040355,19618.228
TRUE,1629895200,25-08-2021,USD,74.29102651,0.001334147,3.73993461,12.16240871,1.668178513,10.86234856,0.941154288,0.043109005,1.000992154,74.31292455,11.2090645,2.50711302,19618.032
TRUE,1629895500,25-08-2021,USD,74.25910531,0.001333707,3.736930797,12.15779144,1.666993589,10.86234856,0.941427067,0.043100388,1.000642086,74.27357569,11.20492025,2.506787199,19608.82
TRUE,1629895800,25-08-2021,USD,74.25073667,0.001334587,3.735324312,12.15760853,1.666827004,10.8657141,0.940994383,0.04309134,1.000822121,74.30401537,11.20626433,2.507413777,19617.444
TRUE,1629896100,25-08-2021,USD,74.29483125,0.001334187,3.731008276,12.15451139,1.666544221,10.86647406,0.941088445,0.043117191,1.000952146,74.27134839,11.20436022,2.506837325,19608.624
TRUE,1629896400,25-08-2021,USD,74.25770686,0.00133368,3.743461179,12.18003485,1.667144333,10.86039437,0.940937946,0.043118914,1.000352031,74.29139404,11.20637634,2.506737073,
TRUE,1629896580,25-08-2021,USD,74.30369633,0.001333613,3.739063412,12.17769868,1.665628483,10.86647406,0.940872103,0.043122361,1.000942144,74.26986353,11.20794443,2.507488966,
TRUE,1629897060,25-08-2021,USD,74.27077647,0.001334627,3.729071637,12.17641625,1.667027773,10.86734259,0.9411731,0.043118483,1.001022159,74.2951062,11.20716039,2.507338588,
TRUE,1629897300,25-08-2021,USD,74.2827367,0.001334387,3.734166764,12.17534317,1.665096271,10.85952584,0.940881509,0.043098664,1.000422044,74.26763623,11.20368818,2.507363651,
TRUE,1629897600,25-08-2021,USD,74.27531474,0.001333707,3.735398973,12.18417428,1.666961139,10.8612629,0.941210725,0.043118483,1.000342029,74.26243922,11.20447223,2.508341112,
TRUE,1629897840,25-08-2021,USD,74.2904109,0.001334427,3.731294008,12.17857034,1.666029134,10.86169716,0.940984977,0.043119345,1.001082171,74.281,11.20648835,2.508416301,
TRUE,1629898200,25-08-2021,USD,74.2972413,0.001334333,3.734117373,12.19463775,1.668795576,10.86137147,0.94112607,0.043105558,1.000992154,74.29065161,11.20559229,2.508341112,
TRUE,1629898560,25-08-2021,USD,74.26545434,0.001334413,3.736309093,12.19115508,1.668595519,10.86169716,0.940862696,0.043096079,1.0007121,74.31292455,11.21119262,2.508491491,
TRUE,1629898860,25-08-2021,USD,74.25728776,0.00133424,3.739810814,12.18950165,1.665245538,10.86310852,0.940740416,0.04309651,1.00113218,74.3047578,11.2040242,2.507238335,
TRUE,1629899100,25-08-2021,USD,74.28795703,0.00133416,3.735037313,12.1882609,1.665412167,10.86213143,0.941116663,0.0431271,1.001092173,74.29362133,11.20413621,2.507689471,
TRUE,1629899400,25-08-2021,USD,74.24467925,0.0013342,3.733831078,12.19407952,1.663500685,10.86365135,0.940796853,0.043120638,1.000702098,74.27060596,11.21175266,2.507288461,
TRUE,1629899700,25-08-2021,USD,74.27659935,0.00133372,3.739724363,12.21088928,1.6674276,10.86527984,0.941436474,0.04311159,1.000892134,74.28990918,11.20256811,2.508591743,
TRUE,1629900000,25-08-2021,USD,74.23709863,0.001333907,3.739077211,12.21223194,1.670484409,10.86365135,0.941163694,0.04309134,1.000532065,74.29807592,11.20447223,2.506686947,
TRUE,1629900300,25-08-2021,USD,,,,,,,,0.043126239,,74.29436376,,,
TRUE,1629900300,25-08-2021,USD,74.19231506,0.00133376,3.737443082,12.19801859,1.668630068,10.85876588,0.941182507,0.043126239,1.001002156,74.29436376,11.21119262,2.508516554,
TRUE,1629900960,25-08-2021,USD,74.19739983,0.001333933,3.738701541,12.21541608,1.670250765,10.86365135,0.940759228,0.043094787,1.000642086,74.28842431,11.20380019,2.507965165,
